Internals 	 minnodeR: 0 	 TSnode: 5 	 minnodeP: 8
Dihedral 13-11-12-16	-0.0008425942814921687	0.05530133729448802	1.0989686906038119
Dihedral 14-11-12-4	1.171903824446545	1.8576507799834268	-3.0858645794933786
Dihedral 14-11-12-15	0.007489374816874047	0.02824964420529665	1.0991517032526228
Dihedral 14-11-12-16	-3.137601971910327	-2.649622137912863	-0.9449040008444022
Angle 2-1-6	2.1244916956741564	2.1067434632200888	1.915095203988517
Angle 3-4-8	2.114872778271462	2.095410128054872	1.9158477818160684
Angle 3-4-12	1.864204751602943	1.7831403156095884	1.954415722285514
Angle 1-11-12	1.1883367377201175	1.9009565082668014	1.9364870879956153
Angle 12-11-13	2.1291823793864375	2.0905374515236197	1.903197008821809
Angle 11-12-15	2.125830587469561	2.090921492569143	1.9032054829432687
