Internals 	 minnodeR: 0 	 TSnode: 3 	 minnodeP: 7
Translation-X 1-9	1.8112913668932862e-09	0.02957714404066611	0.26356709187979055
Translation-Y 1-9	-1.237908095474971e-09	-0.07861525447327879	-0.07021827191983497
Translation-Z 1-9	1.4667823775016409e-08	0.04687985880576856	0.02252395398350164
Rotation-A 1-9	0.011473056010605465	0.033197530723670286	0.4162158707614924
Rotation-B 1-9	-0.015479109130615945	-0.07196687683759355	-0.1307986170175029
Rotation-C 1-9	0.008715530618047279	0.026473697734647333	-0.5626738534689572
Distance 1-2	1.5254176788691116	1.524225296960667	1.5256086616281188
Distance 1-3	1.0964542310635743	1.0942049067627102	1.0965877075984185
Distance 1-4	1.098308334754575	1.0987777004911703	1.0982446585146792
Distance 1-5	1.0952947766421646	1.0963756396166886	1.0949994431052656
Distance 1-9	2.5975845036725698	2.499427185730469	2.57642562056789
Distance 2-6	1.4252582399536697	1.4262518625026666	1.423149577926737
Distance 2-7	1.1023870053095899	1.102592503951678	1.1026884822456857
Distance 2-8	1.0945570613928575	1.0948878632120624	1.094357744724663
Distance 6-9	0.970022460003908	0.9682751239415645	0.9707497880351463
Angle 2-1-3	1.9498830812131343	1.9593913758803878	1.9355769573644197
Angle 2-1-4	1.9286546905133635	1.9146074164899136	1.9405052926424482
Angle 2-1-5	1.9259111083793823	1.9344920203692133	1.9285485617762426
Angle 3-1-4	1.8815995956572054	1.8676728420115807	1.8813419727370857
Angle 3-1-9	2.6528751996502202	2.737600241223899	2.7053545132638797
Angle 4-1-5	1.8798151825172247	1.8865667526127763	1.883480899624668
Angle 4-1-9	1.2443545725155443	1.2397475516019487	1.2894516065316248
Angle 5-1-9	1.7074084908178317	1.6288174404677331	1.6430373410459544
Angle 1-2-6	1.9548056219185004	1.9444171318505383	1.9711752572164203
Angle 1-2-7	1.9253642901028678	1.9238086577633517	1.9215999577732639
Angle 1-2-8	1.930973020137347	1.9437474617512969	1.92368848339692
Angle 6-2-7	1.9298745103399388	1.9318727305242969	1.9357257502157301
Angle 6-2-8	1.8449718352422844	1.8465903482015098	1.8369275490823531
Angle 7-2-8	1.8747628833148224	1.8708457021761937	1.870462120551385
Angle 2-6-9	1.8615878891857869	1.8606883659429094	1.8739962798650673
Angle 1-9-6	1.2264738592828224	1.3116561223486851	1.2588974024038615
Out-of-Plane 1-2-9-3	-0.21556153653441387	-0.16730004760223355	-0.1655464029092375
Out-of-Plane 1-2-9-4	-0.301716180371002	-0.35039203798965124	-0.33765022924173765
Out-of-Plane 1-3-5-9	-0.14206783521963187	-0.11036261280686611	-0.17193773832038894
Dihedral 3-1-2-6	-3.1093653877379657	-3.0972807959202098	-3.045481211314612
Dihedral 3-1-2-7	1.0161664185219677	1.0341321638477323	1.0633870487183157
Dihedral 3-1-2-8	-1.0558176392434455	-1.0400592795742034	-0.9964366694902135
Dihedral 4-1-2-6	1.0789291667437126	1.1117903959401645	1.144706275416238
Dihedral 4-1-2-7	-1.0787243341759405	-1.03998195147148	-1.0296107717304204
Dihedral 4-1-2-8	3.1324769152382324	-3.114173394893416	-3.0894344899389496
Dihedral 5-1-2-6	-0.9982054583978966	-0.9701961974635724	-0.9463174754627944
Dihedral 5-1-2-7	3.1273263478620366	-3.1219685448752172	-3.120634522609453
Dihedral 5-1-2-8	1.0553422900966234	1.0870253188824337	1.102727066361604
Dihedral 9-1-2-6	0.4331401321393393	0.3687925314702139	0.39821034199252114
Dihedral 9-1-2-7	-1.724513368780314	-1.7829798159414307	-1.7761067051541373
Dihedral 9-1-2-8	2.486687880633859	2.42601404781622	2.4472548838169197
Dihedral 2-1-9-6	-0.6528347562971855	-0.5368582284154884	-0.5824381436704197
Dihedral 3-1-9-6	-1.5351599830563927	-1.385793814686112	-1.300351254341067
Dihedral 4-1-9-6	3.1261873686143806	-2.939549349445728	-3.004407327840479
Dihedral 5-1-9-6	1.274137951148253	1.4587311898845645	1.4031567761058898
Dihedral 1-2-6-9	-1.0572253140286505	-0.8529033478247309	-0.9475850354238249
Dihedral 7-2-6-9	1.097892969679891	1.294264242626591	1.219004667741499
Dihedral 8-2-6-9	3.1216974736055785	-2.9678411694115825	-3.047024470651897
Dihedral 2-6-9-1	0.5280005945072305	0.4582772591053815	0.4839102285941865
