Internals 	 minnodeR: 0 	 TSnode: 2 	 minnodeP: 4
Translation-X 1-9	-1.551944826122531e-09	0.032102685589716656	-0.2705391701863236
Translation-Y 1-9	-3.1812557310662015e-09	0.0735287296760517	-0.010903639697961306
Translation-Z 1-9	-1.780881264679124e-08	-0.062177861370977416	-0.15845846356973842
Rotation-A 1-9	-0.010094768670637194	0.019189753652771115	0.22183525404891125
Rotation-B 1-9	0.00974913912760938	0.030165337336606677	-0.04050157002667769
Rotation-C 1-9	0.005185515639010574	-0.08652247380818863	0.3627406556192102
Distance 1-2	1.51890912188344	1.7218927891258902	2.375352444559503
Distance 1-3	1.0956003106141816	1.0998044799997364	1.0984881114249816
Distance 1-8	1.0950752108900597	1.0828911112536028	1.0976606414882326
Distance 1-9	1.0949726825536583	1.0826824699588413	1.0990545106332257
Distance 1-6	2.3833885080468407	2.052471043789445	1.4173473229393139
Distance 2-4	1.1021146207912251	1.0998135415686903	1.1021527031956257
Distance 2-5	1.1021878863973982	1.0992907892768673	1.1021608137250019
Distance 2-6	1.4280154272064	1.6661609382983293	1.4098289912162776
Distance 2-7	1.9483015085822648	1.093039839491706	1.0942407018951847
Distance 6-7	0.9691402408857713	1.7816354820983575	2.019034517391255
Angle 2-1-3	1.9325787818902473	1.740486763882743	1.3892513708035175
Angle 2-1-8	1.926494654207486	1.9129278754534733	2.182908608916741
Angle 2-1-9	1.9260604404287918	1.9138491673285472	2.104382734224496
Angle 3-1-8	1.897267363876882	1.9567007721838778	1.891488344517111
Angle 3-1-9	1.8977655750550515	1.954732720896155	1.8886134820847928
Angle 3-1-6	2.539219573769535	2.6389405183553514	1.9588272497857253
Angle 8-1-9	1.8825649454140692	1.9711156814094333	1.8922349254693196
Angle 1-2-4	1.921796975629884	1.6317303534201668	1.6445764877386602
Angle 1-2-5	1.9221239943662067	1.653383055078259	1.6460609703215197
Angle 1-2-7	2.3786670743860223	2.650677535287841	2.438812814994288
Angle 4-2-5	1.880871031585204	1.9921572476942864	1.8942665183405771
Angle 4-2-6	1.9281771827266272	2.147499348867154	1.9567471888935701
Angle 4-2-7	1.6533005674233205	1.75325257277247	1.896190005065799
Angle 5-2-6	1.927807802078056	2.1313318368704675	1.958920134023478
Angle 5-2-7	1.65272246455064	1.7717051002730755	1.8917534078085463
Angle 6-2-7	0.4952390380417172	1.3503089282847376	1.8639255296582697
Angle 1-6-7	2.52211171231598	1.5834361110771578	2.540741794791504
Angle 2-6-7	1.8705880217883517	0.6418163018393641	0.5454988618169044
Angle 2-7-6	0.7757655937597243	1.1494674234656916	0.7321682621146193
Out-of-Plane 1-2-6-3	-0.0003049278804988073	-0.006863174943962642	0.04181005870278667
Out-of-Plane 1-6-8-3	0.287564769814786	0.2488629017772839	0.5713431667290958
Out-of-Plane 1-6-9-3	-0.2876889231609266	-0.25573728654218836	-0.5710982563289698
Out-of-Plane 2-1-6-7	0.00036745557868974124	-0.017043066117677794	0.002357443138877004
Out-of-Plane 6-1-2-7	-0.00015357452536530068	0.058953061679134326	-0.003804731398166707
Dihedral 3-1-2-4	-1.0362102682770276	-1.0020307798130688	-0.8710062946588598
Dihedral 3-1-2-5	1.0355744154895752	0.9980438049235526	1.0310178403209544
Dihedral 3-1-2-6	3.141146542336832	3.1281227016280497	-3.0606752783569893
Dihedral 3-1-2-7	3.1409929678114668	-3.0961095438724024	-3.064480009755156
Dihedral 8-1-2-4	1.0655755523901231	1.0539787758180224	0.9656228069532461
Dihedral 8-1-2-5	3.137360236156726	3.0540533605546436	2.86764694193306
Dihedral 8-1-2-6	-1.0402529441756037	-1.0990530499204458	-1.2240461767448834
Dihedral 8-1-2-7	-1.040406518700969	-1.0400999882413118	-1.2278509081430502
Dihedral 9-1-2-4	-3.138334961031518	-3.0561714598055496	-2.7054165689386016
Dihedral 9-1-2-5	-1.066550277264915	-1.0560968750689284	-0.8033924339587876
Dihedral 9-1-2-6	1.0390218495823422	1.0739820216355689	1.3880997545428553
Dihedral 9-1-2-7	1.0388682750569767	1.1329350833147032	1.3842950231446887
Dihedral 6-1-2-4	2.1058284965657266	2.153031825738468	2.1896689836981293
Dihedral 6-1-2-5	-2.1055721268472567	-2.130078896704497	-2.1914921885016425
Dihedral 6-1-2-7	-0.00015357452536530068	0.058953061679134326	-0.003804731398166707
Dihedral 2-1-6-7	0.00036745557868974124	-0.017043066117677794	0.002357443138877004
Dihedral 3-1-6-2	-0.0007363814638436664	-0.027561447790984468	0.08599179776181445
Dihedral 3-1-6-7	-0.00036892588515394226	-0.04460451390866234	0.08834924090069152
Dihedral 8-1-6-2	2.1997554886827184	2.133348037478781	2.1866619064258073
Dihedral 8-1-6-7	2.200122944261408	2.1163049713611035	2.1890193495646844
Dihedral 9-1-6-2	-2.2005471378115	-2.1510436502096884	-2.018574784534219
Dihedral 9-1-6-7	-2.20017968223281	-2.168086716327366	-2.016217341395342
Dihedral 1-2-6-7	-3.141369344202994	3.113123356412315	-3.1390239312161086
Dihedral 4-2-6-1	-2.101829654583336	-1.4662195229873896	-1.0691970452467199
Dihedral 4-2-6-7	1.0399863083932563	1.6469038334249253	2.074964330716758
Dihedral 5-2-6-1	2.1020096810873206	1.4983188374505727	1.068238659889246
Dihedral 5-2-6-7	-1.0393596631156736	-1.6717431133166987	-2.0707852713268626
Dihedral 7-2-6-1	3.141369344202994	-3.113123356412315	3.1390239312161086
Dihedral 1-2-7-6	0.00030748625342056734	-0.05823218186233881	0.002160967927212373
Dihedral 4-2-7-6	-2.1963051009111743	-2.1257087051175962	-2.1139294381656533
Dihedral 5-2-7-6	2.1966896963556537	2.1064086994728606	2.114057386739855
Dihedral 1-6-7-2	-0.00023322696812380956	0.023021828368988573	-0.004140470951695639
