Internals 	 minnodeR: 0 	 TSnode: 9 	 minnodeP: 12
Translation-X 1-9	-1.5490100140069796e-09	0.5609120720958991	1.4335199630352833
Translation-Y 1-9	-3.1712801412675518e-09	0.49252316035607735	0.6392472853141977
Translation-Z 1-9	-1.778269834162849e-08	0.01190719131039064	0.7223079850301931
Rotation-A 1-9	-0.010092019386454704	-0.3282418499847424	0.37379788339642117
Rotation-B 1-9	0.009943898025923324	-0.1606688637491907	0.13572921192231735
Rotation-C 1-9	0.005275852199737944	0.1234210765943145	1.102462500296277
Distance 1-2	1.5192626003556176	2.840468856294614	3.900477838076672
Distance 1-3	1.0956842017646946	1.1017810038106595	1.0935767851674558
Distance 1-8	1.0950786683685092	1.0790939248584206	1.0938643886954285
Distance 1-9	1.0949704939835059	1.923482614707512	1.0920448602716335
Distance 1-7	3.2241291357092536	1.1268550704361553	1.0935777880130608
Distance 2-4	1.1022116612490092	1.1061530165798164	1.1099570701288983
Distance 2-5	1.1022765104505046	1.1283939983907554	1.1106709688274419
Distance 2-6	1.4267627451053848	2.526223029311105	1.2066672603689268
Distance 6-7	0.9690090738018229	2.0228344237347446	3.7048125893927937
Angle 2-1-3	1.9300534828517693	2.0843061907925176	2.302102934694205
Angle 2-1-8	1.9282784067907046	2.209711867626497	2.031369654701117
Angle 2-1-9	1.9280547260285732	0.7914749920780125	0.71759076251814
Angle 2-1-7	0.43139476656778153	0.7127087208194928	1.2167985105017554
Angle 3-1-8	1.8963409411495662	1.9528136322525755	1.9060202408420233
Angle 3-1-9	1.8967251499146105	1.7525058930208413	1.9152492802183732
Angle 3-1-7	2.3614479447610113	1.8866297765368747	1.9090532180969964
Angle 8-1-9	1.8832772509104485	2.391741136582573	1.9076537191052056
Angle 7-1-8	1.6915019535492368	1.9232479785775074	1.9045553311255063
Angle 7-1-9	1.6904669608864393	1.4715469832331862	1.9211808051190187
Angle 1-2-4	1.9180362574580179	1.8670357187035602	1.8450975197836186
Angle 1-2-5	1.9184201812138324	2.5981213602534194	1.7346665753844457
Angle 1-2-6	1.884676323987445	0.5314588419164868	1.1546883069375926
Angle 4-2-5	1.8799555871345086	1.8163755096426182	2.0130765842418397
Angle 4-2-6	1.9317743960440643	1.7902973637248398	2.137733828318014
Angle 5-2-6	1.9312589729768603	2.4609500446339934	2.1323725792048593
Angle 2-6-7	1.8754671625692259	0.9458985563639287	1.3761561334911365
Angle 1-7-6	0.44060395919884243	0.766671728855505	1.3141809736991867
Dihedral 3-1-2-4	-1.0336030861374481	-2.98721432829138	-2.675590326839697
Dihedral 3-1-2-5	1.0324836800279262	0.07384953549311087	-0.5844362341266855
Dihedral 3-1-2-6	3.1408330307649392	1.7952050866382163	1.5297431460945834
Dihedral 8-1-2-4	1.0665431076718674	-0.156326361112404	0.8182280357239653
Dihedral 8-1-2-5	3.132629873837242	2.904737502672087	2.9093821284369774
Dihedral 8-1-2-6	-1.0422060826053319	-1.657092253362394	-1.2596237985213403
Dihedral 9-1-2-4	-3.1340839743344726	1.9939214907248457	2.3816713389222146
Dihedral 9-1-2-5	-1.0679972081690983	-1.2281999526702498	-1.81035987554436
Dihedral 9-1-2-6	1.0403521425679145	0.49315559847485585	0.303819504676909
Dihedral 7-1-2-4	2.109035931533522	-1.5238285496240058	-0.9605790330318663
Dihedral 7-1-2-5	-2.1080626094806907	1.537235314160485	1.1305750596811457
Dihedral 7-1-2-6	0.0002867412563223319	-3.024594441873996	-3.038430867277172
Dihedral 2-1-7-6	-3.1406510778136876	0.10669768593282868	0.03172236564503487
Dihedral 3-1-7-6	3.1411415833995577	2.10241944368422	2.277335428452487
Dihedral 8-1-7-6	-0.9517761562216087	-2.041825273131206	-1.9217216902113492
Dihedral 9-1-7-6	0.9516073099973911	0.37243546902535885	0.17172080232347536
Dihedral 1-2-6-7	-3.141174466197381	0.05245217049650367	0.02906512081902062
Dihedral 4-2-6-7	1.041857809257446	-1.7306298978294135	-1.6115110533421029
Dihedral 5-2-6-7	-1.0408590836946598	2.245725607865194	1.532502700853314
Dihedral 2-6-7-1	0.000439473278456304	-3.044899757051792	-3.043417822272891
