Internals 	 minnodeR: 0 	 TSnode: 2 	 minnodeP: 4
Translation-X 1-9	6.636959315464708e-10	0.04072269679994642	0.012103337228039314
Translation-Y 1-9	-3.09529316067092e-09	-0.0948425562443867	-0.0961232888551008
Translation-Z 1-9	-2.006894386785696e-08	-0.02999667364047462	-0.39231728142261046
Rotation-A 1-9	-0.010088210612589492	0.06582204010005824	-0.22472784770756546
Rotation-B 1-9	0.009766348011535645	0.007485943938065999	0.40759205539041526
Rotation-C 1-9	0.005252405043116217	0.01531123542538272	-0.197063037685019
Distance 1-2	1.5188658143358764	1.5106307147233948	1.5088586623420404
Distance 1-3	1.0956154937099074	1.095100510453499	1.0963088527184448
Distance 1-8	1.0950834173487964	1.0981282358303472	1.099962096528776
Distance 1-9	1.0949673664955264	1.0917333547913308	1.0932525919578833
Distance 2-4	1.1022619204586632	1.1075021904762936	1.1140312388940203
Distance 2-5	1.1018006320814726	1.4960373412174015	3.419554801336148
Distance 2-6	1.4269732627288396	1.326673173449353	1.2104558995525994
Distance 5-7	2.310176567043705	1.0184446519256347	0.7421093754398351
Distance 6-7	0.9688529829044079	1.372215248336018	2.979248890944587
Angle 2-1-3	1.9326579050288268	1.964193146527412	1.9323139133651943
Angle 2-1-8	1.9264460607843101	1.84152132817552	1.9047375751970197
Angle 2-1-9	1.9262420953131123	1.9277805657996583	1.926315582634861
Angle 3-1-8	1.8965964793150039	1.9014189420096927	1.864972416631033
Angle 3-1-9	1.8971662139915793	1.9362191696913578	1.9319423335713795
Angle 8-1-9	1.8836264075250653	1.8886939423988094	1.9021577997591732
Angle 1-2-4	1.9204270536689518	1.9807812215065723	2.0100028092524704
Angle 1-2-5	1.9227776868835766	1.7606968117221786	1.997254408714129
Angle 1-2-6	1.8840319576110076	2.083565632168949	2.172209835320982
Angle 4-2-5	1.8792147389968132	1.6325751153362973	1.4014357371529924
Angle 4-2-6	1.9317620973063891	2.068204226694771	2.10097266166573
Angle 5-2-6	1.9259956517819452	1.8280871751961039	1.3276394205004456
Angle 2-5-7	0.998980859339722	1.0293729964794147	1.2503998403083478
Angle 2-6-7	1.8722869210960447	1.0094744532920135	1.6130276779902732
Angle 5-7-6	1.124589250851065	2.414425252816893	1.974918369159603
Dihedral 3-1-2-4	-1.0342854004226212	-0.7203414202246141	-0.7471333940727205
Dihedral 3-1-2-5	1.0350178633129072	1.0031380636582208	0.8325707267159244
Dihedral 3-1-2-6	3.139141392692112	2.9915497353725233	2.3944126305427926
Dihedral 8-1-2-4	1.0666797191313655	1.3510570486406128	1.3008733893451039
Dihedral 8-1-2-5	3.1359829828668935	3.0745365325234477	2.8805775101337483
Dihedral 8-1-2-6	-1.0430787949334879	-1.2202371029418362	-1.8407658932189697
Dihedral 9-1-2-4	-3.135830249387185	-2.8948755348303625	-2.892369198290194
Dihedral 9-1-2-5	-1.0665269856516568	-1.1713960509475279	-1.3126650775015494
Dihedral 9-1-2-6	1.037596543727548	0.8170156207667748	0.24917682632531915
Dihedral 1-2-5-7	2.4987598617948072	2.21431538301116	2.7135667222768465
Dihedral 4-2-5-7	-1.6900259221489433	-2.0662165976497477	-1.5915134750697764
Dihedral 6-2-5-7	0.42005207975431014	0.04047298673889309	0.5869983881261203
Dihedral 1-2-6-7	-3.130231371109306	-1.9825065346239839	-2.056235021028769
Dihedral 4-2-6-7	1.0502852899437776	1.7575993768623106	1.0853087134552342
Dihedral 5-2-6-7	-1.0281242874565713	-0.030404909455018874	-0.13143770568448182
Dihedral 2-5-7-6	-0.6741934257548619	-0.05694091163575553	-0.23984060310973052
Dihedral 2-6-7-5	0.4383871345965457	0.06501133507871266	0.6912407291950168
